Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2020-01-07,1,4.395,4.136,0.1485,0.2564,0.0
OCUL,2020-01-08,1,4.48,4.256,0.0283,0.2344,0.0
OCUL,2020-01-09,1,4.455,4.348,0.0071,0.1899,0.0
OCUL,2020-01-10,1,4.44,4.426,0.0141,0.0802,0.0
OCUL,2020-01-13,0,4.435,4.456,0.0071,0.027,-1.0
OCUL,2020-01-14,0,4.42,4.436,0.0283,0.023,0.0
OCUL,2020-01-15,0,4.425,4.434,0.0354,0.0207,0.0
OCUL,2020-01-16,1,4.5,4.454,0.0707,0.0568,1.0
OCUL,2020-01-17,1,4.595,4.496,0.0636,0.0976,0.0
OCUL,2020-01-21,1,4.635,4.534,0.0071,0.1069,0.0
OCUL,2020-01-22,1,4.87,4.676,0.3394,0.2543,0.0
OCUL,2020-01-23,1,5.0,4.764,0.1556,0.2317,0.0
OCUL,2020-01-24,1,4.795,4.794,0.1344,0.2053,0.0
OCUL,2020-01-27,0,4.56,4.75,0.198,0.2622,-1.0
OCUL,2020-01-28,0,4.38,4.692,0.0566,0.3209,0.0
OCUL,2020-01-29,0,4.385,4.556,0.0636,0.2309,0.0
OCUL,2020-01-30,0,4.38,4.444,0.0707,0.1501,0.0
OCUL,2020-01-31,0,4.35,4.378,0.0283,0.0455,0.0
OCUL,2020-02-03,1,4.37,4.368,0.0,0.039,1.0
OCUL,2020-02-04,1,4.45,4.406,0.1131,0.078,0.0
OCUL,2020-02-05,1,4.605,4.456,0.1061,0.1469,0.0
OCUL,2020-02-06,1,4.78,4.566,0.1414,0.2178,0.0
OCUL,2020-02-07,1,4.94,4.692,0.0849,0.2551,0.0
OCUL,2020-02-10,1,5.16,4.882,0.2263,0.3043,0.0
OCUL,2020-02-11,1,5.285,5.026,0.0495,0.2638,0.0
OCUL,2020-02-12,1,5.245,5.138,0.0071,0.1882,0.0
OCUL,2020-02-13,1,5.38,5.266,0.198,0.1865,0.0
OCUL,2020-02-14,1,5.46,5.346,0.0849,0.1165,0.0
OCUL,2020-02-18,0,5.275,5.312,0.1768,0.1469,-1.0
OCUL,2020-02-19,0,5.21,5.316,0.0849,0.145,0.0
OCUL,2020-02-20,0,5.265,5.32,0.0071,0.1427,0.0
OCUL,2020-02-21,1,5.315,5.29,0.0778,0.0992,1.0
OCUL,2020-02-24,1,5.38,5.288,0.0141,0.0965,0.0
OCUL,2020-02-25,0,5.26,5.284,0.1838,0.1038,-1.0
OCUL,2020-02-26,0,5.075,5.234,0.0778,0.1582,0.0
OCUL,2020-02-27,0,4.955,5.16,0.0919,0.2182,0.0
OCUL,2020-02-28,0,4.68,4.98,0.297,0.3393,0.0
OCUL,2020-03-02,0,4.59,4.844,0.1697,0.2611,0.0
OCUL,2020-03-03,0,4.66,4.74,0.0707,0.2189,0.0
OCUL,2020-03-04,1,5.13,4.866,0.7354,0.4642,1.0
OCUL,2020-03-05,1,6.33,5.29,0.9617,1.0676,0.0
OCUL,2020-03-06,1,7.065,5.82,0.0778,1.2074,0.0
OCUL,2020-03-09,1,6.68,6.126,0.6223,1.0377,0.0
OCUL,2020-03-10,0,6.335,6.49,0.1344,0.5998,-1.0
OCUL,2020-03-11,0,6.205,6.556,0.3182,0.4929,0.0
OCUL,2020-03-12,0,5.35,6.098,0.891,0.8786,0.0
OCUL,2020-03-13,0,4.55,5.55,0.2404,0.9345,0.0
OCUL,2020-03-16,0,4.19,5.102,0.2687,1.0507,0.0
OCUL,2020-03-17,0,4.105,4.658,0.1485,0.7846,0.0
OCUL,2020-03-18,1,4.475,4.41,0.3748,0.3217,1.0
OCUL,2020-03-19,1,4.695,4.396,0.0636,0.306,0.0
OCUL,2020-03-20,1,4.715,4.476,0.0919,0.3499,0.0
OCUL,2020-03-23,0,4.515,4.526,0.3748,0.2746,-1.0
OCUL,2020-03-24,0,4.705,4.716,0.6435,0.3253,0.0
OCUL,2020-03-25,1,5.045,4.754,0.1626,0.3396,1.0
OCUL,2020-03-26,1,5.0,4.838,0.099,0.3588,0.0
OCUL,2020-03-27,1,4.87,4.816,0.2828,0.3666,0.0
OCUL,2020-03-30,0,4.835,4.966,0.2333,0.1861,-1.0
OCUL,2020-03-31,1,4.95,4.914,0.0707,0.1514,1.0
OCUL,2020-04-01,0,4.805,4.87,0.1344,0.1756,-1.0
OCUL,2020-04-02,0,4.655,4.776,0.0778,0.1674,0.0
OCUL,2020-04-03,0,4.65,4.782,0.0707,0.1632,0.0
OCUL,2020-04-06,1,4.845,4.78,0.2051,0.1598,1.0
OCUL,2020-04-07,1,5.16,4.866,0.2404,0.2972,0.0
OCUL,2020-04-08,1,5.205,4.94,0.1768,0.2947,0.0
OCUL,2020-04-09,1,5.21,5.088,0.1838,0.2657,0.0
OCUL,2020-04-13,1,5.41,5.244,0.099,0.2023,0.0
OCUL,2020-04-14,1,5.665,5.416,0.2616,0.2822,0.0
OCUL,2020-04-15,1,5.65,5.44,0.2828,0.2781,0.0
OCUL,2020-04-16,0,5.525,5.544,0.1061,0.1945,-1.0
OCUL,2020-04-17,0,5.545,5.574,0.0778,0.1644,0.0
OCUL,2020-04-20,0,5.295,5.498,0.2758,0.2716,0.0
OCUL,2020-04-21,0,5.16,5.372,0.0849,0.2056,0.0
