Date,ticker,stock,holdings,cash,total,returns
2020-07-08,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-09,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-10,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-13,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-14,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-15,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-16,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-17,NGM,565.8,565.8,2520.15,3085.95,0.0
2020-07-20,NGM,0.0,0.0,3104.55,3104.55,0.006
2020-07-21,NGM,581.1,581.1,2523.45,3104.55,-0.0
2020-07-22,NGM,0.0,0.0,3079.65,3079.65,-0.008
2020-07-23,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-24,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-27,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-28,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-29,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-30,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-07-31,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-08-03,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-08-04,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-08-05,NGM,0.0,0.0,3079.65,3079.65,0.0
2020-08-06,NGM,576.6,576.6,2503.05,3079.65,0.0
2020-08-07,NGM,0.0,0.0,3069.45,3069.45,-0.0033
2020-08-10,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-11,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-12,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-13,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-14,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-17,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-18,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-19,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-20,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-21,NGM,0.0,0.0,3069.45,3069.45,0.0
2020-08-24,NGM,0.0,0.0,3069.45,3069.45,0.0
